olá [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
este [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
é [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
um [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
teste [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
como [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
está [('/home/jnaraujo/Documentos/testefiles/oi.txt', 1)]
tatu [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 3)]
jacare [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
babuino [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
salve [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
o [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
tricolor [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
paulista [('/home/jnaraujo/Documentos/testefiles/tatu.txt', 1)]
